date,rf
2010-01-04,7.528418159918893e-05
2010-01-05,8.364775791669388e-05
2010-01-06,8.214936535111406e-05
2010-01-07,8.103110664725577e-05
2010-01-08,7.441935711605119e-05
2010-01-11,8.549896687748415e-05
2010-01-12,7.455286761648416e-05
2010-01-13,8.16837933501624e-05
2010-01-14,7.731895108142872e-05
2010-01-15,7.614473850803272e-05
2010-01-18,7.300917437080834e-05
2010-01-19,8.271474320697969e-05
2010-01-20,7.477655071208567e-05
2010-01-21,7.471949050441573e-05
2010-01-22,8.007447684255098e-05
2010-01-25,8.145305890461252e-05
2010-01-26,8.114488622057436e-05
2010-01-27,7.867233328351375e-05
2010-01-28,7.316617238162237e-05
2010-01-29,7.8502934192759e-05
2010-02-01,7.114081439407727e-05
2010-02-02,7.95456642264103e-05
2010-02-03,8.010927933255196e-05
2010-02-04,7.88970298866154e-05
2010-02-05,7.486964665370799e-05
2010-02-08,8.174127343774096e-05
2010-02-09,7.984212001566071e-05
2010-02-10,6.95638243719543e-05
2010-02-11,7.172511238096035e-05
2010-02-12,7.940250137727922e-05
2010-02-15,7.633648694560513e-05
2010-02-16,7.39146837593907e-05
2010-02-17,7.688624814239375e-05
2010-02-18,7.412980697441007e-05
2010-02-19,8.002045314947637e-05
2010-02-22,7.794609559796939e-05
2010-02-23,7.823093797099112e-05
2010-02-24,7.34740192376293e-05
2010-02-25,7.056866738097689e-05
2010-02-26,7.90594456747673e-05
2010-03-01,7.92410702750157e-05
2010-03-02,7.356953107140463e-05
2010-03-03,7.857240214703687e-05
2010-03-04,7.436000472504922e-05
2010-03-05,7.502461945163574e-05
2010-03-08,7.711862477433051e-05
2010-03-09,8.554314843833843e-05
2010-03-10,8.108624137159737e-05
2010-03-11,7.37513324005068e-05
2010-03-12,7.999749278697621e-05
2010-03-15,7.890535748011906e-05
2010-03-16,7.925290578980615e-05
2010-03-17,7.857113699483165e-05
2010-03-18,7.735215549709018e-05
2010-03-19,6.964161150802006e-05
2010-03-22,7.410647500782908e-05
2010-03-23,7.882253743218826e-05
2010-03-24,7.939799750644738e-05
2010-03-25,7.934083082927756e-05
2010-03-26,7.887856253319114e-05
2010-03-29,7.022357344932395e-05
2010-03-30,7.697373620607628e-05
2010-03-31,8.259760472983935e-05
2010-04-01,6.760838933161928e-05
2010-04-02,7.979954531456279e-05
2010-04-05,8.690138968048267e-05
2010-04-06,7.784520489972913e-05
2010-04-07,7.873371895650294e-05
2010-04-08,8.123362835310566e-05
2010-04-09,7.744795791664316e-05
2010-04-12,8.151149571844485e-05
2010-04-13,6.877456407883287e-05
2010-04-14,7.592523326516165e-05
2010-04-15,8.60160846749558e-05
2010-04-16,8.528417103992325e-05
2010-04-19,8.302374880075902e-05
2010-04-20,8.168826209087321e-05
2010-04-21,7.437139795141157e-05
2010-04-22,7.712534362247503e-05
2010-04-23,8.189379214473824e-05
2010-04-26,7.890364806617534e-05
2010-04-27,8.078891030094404e-05
2010-04-28,8.27715607112367e-05
2010-04-29,7.825808533135081e-05
2010-04-30,7.677538898498426e-05
2010-05-03,7.709312382409017e-05
2010-05-04,7.943533061127717e-05
2010-05-05,7.950890520058707e-05
2010-05-06,7.588922931245357e-05
2010-05-07,7.042470019658076e-05
2010-05-10,7.929153814245637e-05
2010-05-11,7.676393130817694e-05
2010-05-12,7.524179519657892e-05
2010-05-13,7.65248710135058e-05
2010-05-14,7.604057099608319e-05
2010-05-17,6.883670138524423e-05
2010-05-18,8.099570328568007e-05
2010-05-19,8.032940224866891e-05
2010-05-20,7.938348107283666e-05
2010-05-21,8.401954077763563e-05
2010-05-24,7.325833450555486e-05
2010-05-25,7.864653796585408e-05
2010-05-26,8.06918174729443e-05
2010-05-27,7.718215865959444e-05
2010-05-28,7.844314683924658e-05
2010-05-31,7.536137215025107e-05
2010-06-01,7.986376114477167e-05
2010-06-02,7.484839072047222e-05
2010-06-03,7.653929084550093e-05
2010-06-04,8.576701179197066e-05
2010-06-07,8.256853986599033e-05
2010-06-08,7.677215820289796e-05
2010-06-09,7.367166786353962e-05
2010-06-10,7.482613827858309e-05
2010-06-11,8.372769585984763e-05
2010-06-14,7.770123822803399e-05
2010-06-15,8.00080807681347e-05
2010-06-16,7.47469947186552e-05
2010-06-17,7.498589845855719e-05
2010-06-18,7.826296271939981e-05
2010-06-21,8.100132400867821e-05
2010-06-22,8.577416773514202e-05
2010-06-23,7.361976921749225e-05
2010-06-24,7.28327196644063e-05
2010-06-25,7.23955217070138e-05
2010-06-28,8.196655735392966e-05
2010-06-29,8.097632212500372e-05
2010-06-30,7.1028040249832e-05
2010-07-01,7.659848355423549e-05
2010-07-02,7.640859232371788e-05
2010-07-05,7.988752142296107e-05
2010-07-06,7.340572106873111e-05
2010-07-07,7.007379300527639e-05
2010-07-08,7.211933715867147e-05
2010-07-09,8.507091227683006e-05
2010-07-12,8.00652995094353e-05
2010-07-13,7.805205540112325e-05
2010-07-14,7.713638865536332e-05
2010-07-15,7.509103386182936e-05
2010-07-16,7.712868454046173e-05
2010-07-19,7.840242420642518e-05
2010-07-20,7.882088983146573e-05
2010-07-21,7.838727006359569e-05
2010-07-22,7.2484761880931e-05
2010-07-23,7.562156255080943e-05
2010-07-26,8.06601661702544e-05
2010-07-27,7.353646754637566e-05
2010-07-28,7.83066551959255e-05
2010-07-29,7.8484058408268e-05
2010-07-30,7.832570224852731e-05
2010-08-02,8.240200018794219e-05
2010-08-03,7.613197159495044e-05
2010-08-04,7.623353827335144e-05
2010-08-05,7.558535784824016e-05
2010-08-06,7.72619848012912e-05
2010-08-09,7.422078415353361e-05
2010-08-10,7.710150010331596e-05
2010-08-11,7.555278755955186e-05
2010-08-12,7.814637466374563e-05
2010-08-13,7.399040966049597e-05
2010-08-16,7.798935716429867e-05
2010-08-17,7.633147674068752e-05
2010-08-18,7.239636352562862e-05
2010-08-19,7.714497596533754e-05
2010-08-20,7.232536997547889e-05
2010-08-23,8.264325945184225e-05
2010-08-24,7.334302798867043e-05
2010-08-25,8.756852728741826e-05
2010-08-26,7.488843400649259e-05
2010-08-27,8.70619145625362e-05
2010-08-30,7.534864940517139e-05
2010-08-31,7.825637076264158e-05
2010-09-01,7.597291382799298e-05
2010-09-02,7.697866501210626e-05
2010-09-03,6.721208559090641e-05
2010-09-06,7.426972379365182e-05
2010-09-07,7.153151895566978e-05
2010-09-08,7.61190158320435e-05
2010-09-09,7.466154788282608e-05
2010-09-10,6.965059316899058e-05
2010-09-13,7.68243296442872e-05
2010-09-14,7.793652718568467e-05
2010-09-15,7.763743266586687e-05
2010-09-16,7.49192942686161e-05
2010-09-17,8.261672046794288e-05
2010-09-20,7.638293682066255e-05
2010-09-21,7.008645806183544e-05
2010-09-22,7.484378039768202e-05
2010-09-23,7.378816384329134e-05
2010-09-24,8.0748738085612e-05
2010-09-27,7.720734017824249e-05
2010-09-28,7.297768102931812e-05
2010-09-29,7.562782009351565e-05
2010-09-30,7.652023546955711e-05
2010-10-01,7.016408825610831e-05
2010-10-04,7.856022411978358e-05
2010-10-05,7.20211037770202e-05
2010-10-06,7.707251774524693e-05
2010-10-07,7.476273032436254e-05
2010-10-08,7.393487445672697e-05
2010-10-11,7.41182014434294e-05
2010-10-12,7.87379144067124e-05
2010-10-13,7.156363837612645e-05
2010-10-14,7.00669784312602e-05
2010-10-15,7.414462385324505e-05
2010-10-18,7.381690386698558e-05
2010-10-19,6.813671121563836e-05
2010-10-20,7.438955527483415e-05
2010-10-21,7.176630534422301e-05
2010-10-22,7.55566875247915e-05
2010-10-25,7.924964340921825e-05
2010-10-26,7.146384713152543e-05
2010-10-27,7.674293772752527e-05
2010-10-28,8.014820311119664e-05
2010-10-29,7.435493483742839e-05
2010-11-01,6.894320680173038e-05
2010-11-02,7.61902823318561e-05
2010-11-03,8.159005556285237e-05
2010-11-04,7.993406484141374e-05
2010-11-05,8.250650296282025e-05
2010-11-08,7.383384543468985e-05
2010-11-09,7.05783208139188e-05
2010-11-10,7.62956679902782e-05
2010-11-11,7.665974577575341e-05
2010-11-12,7.607160436728932e-05
2010-11-15,7.47329330579305e-05
2010-11-16,7.273386826223138e-05
2010-11-17,7.821625431647661e-05
2010-11-18,7.49276743889915e-05
2010-11-19,7.5584061414391e-05
2010-11-22,7.106945293910982e-05
2010-11-23,8.236129996230801e-05
2010-11-24,7.636894264972938e-05
2010-11-25,7.083965098253486e-05
2010-11-26,6.968754387570719e-05
2010-11-29,7.369806731882811e-05
2010-11-30,7.394921252124043e-05
2010-12-01,8.305786517581737e-05
2010-12-02,7.593822029572372e-05
2010-12-03,6.87334833198161e-05
2010-12-06,7.528177710547368e-05
2010-12-07,7.758107592925612e-05
2010-12-08,7.626524014581193e-05
2010-12-09,7.364649772534371e-05
2010-12-10,7.688016903073525e-05
2010-12-13,6.793439397823064e-05
2010-12-14,7.625970096269974e-05
2010-12-15,8.019141655202233e-05
2010-12-16,8.395741958988623e-05
2010-12-17,7.210063464913041e-05
2010-12-20,7.935539137160497e-05
2010-12-21,8.180181397920983e-05
2010-12-22,6.832487228680684e-05
2010-12-23,6.976405698266852e-05
2010-12-24,6.956206085573235e-05
2010-12-27,7.267603267191447e-05
